expediente,pueblo,scall_col,territorial,fecha_instalacion,alcaldia,instalado,latitud,longitud
1164-NAROVA-TLN-24,MESA DE LOS HORNOS,MESA DE LOS HORNOS,NO APLICA,28/03/2024,TLALPAN,Programa SCALL,19.27804,-99.184
1164-ROMEMA-XOO-24,LAS MESITAS,LAS MESITAS,NO APLICA,12/04/2024,XOCHIMILCO,Programa SCALL,19.24339,-99.0159
1165-BRVESA-XOO-24,BARRIO TETITLA,BARRIO TETITLA,NO APLICA,27/07/2024,XOCHIMILCO,Programa SCALL,19.25256,-99.0727
1165-RAALTE-TLN-24,SAN JUAN TEPEXIMILPA,SAN JUAN TEPEXIMILPA,NO APLICA,17/05/2024,TLALPAN,Programa SCALL,19.27368,-99.1922
1165-RAPEMA-TLC-24,EL TRIANGULO,EL TRIANGULO,NO APLICA,25/06/2024,TLAHUAC,Programa SCALL,19.285359,-99.011279
1166-CHCAOS-TLC-24,BARRIO SANTIAGO CENTRO,BARRIO SANTIAGO CENTRO,NO APLICA,23/04/2024,TLAHUAC,Programa SCALL,19.296898,-99.034628
1166-PABEMA-VEA-24,LORENZO BOTURINI,LORENZO BOTURINI,NO APLICA,22/05/2024,VENUSTIANO CARRANZA,Programa SCALL,19.41742,-99.122185
1166-PEVEMA-IZA-24,EL RODEO,EL RODEO,NO APLICA,30/05/2024,IZTAPALAPA,Programa SCALL,19.334218,-99.070454
1167-CAMEMA-TLC-24,SAN FRANCISCO TLALTENCO (PBO),SAN FRANCISCO TLALTENCO (PBO),NO APLICA,07/06/2024,TLAHUAC,Programa SCALL,19.2974,-99.011567
1167-HEZAMA-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,12/04/2024,IZTACALCO,Programa SCALL,19.411687,-99.074028
1167-JICAZA-XOO-24,LAS MESITAS,LAS MESITAS,NO APLICA,17/04/2024,XOCHIMILCO,Programa SCALL,19.24358,-99.0155
1167-SAGOMA-IZA-24,PUENTE BLANCO,PUENTE BLANCO,NO APLICA,16/05/2024,IZTAPALAPA,Programa SCALL,19.33099,-99.065166
1167-XXFRIG-TLN-24,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,NO APLICA,13/05/2024,TLALPAN,Programa SCALL,19.27825,-99.2415
