fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-12-10,6270,226,5563,198,0.03604465709728868,0.0355923063095452
2021-12-11,1811,76,1629,72,0.04196576477084483,0.04419889502762431
2021-12-12,1447,89,1289,83,0.06150656530753282,0.0643910007757952
2021-12-13,5183,294,4506,271,0.0567239050742813,0.06014203284509543
2021-12-14,5759,340,5043,315,0.05903802743531863,0.06246281975014872
2021-12-15,5709,294,5051,260,0.05149763531266421,0.05147495545436547
2021-12-16,5493,279,4885,260,0.05079191698525396,0.05322415557830092
2021-12-17,5594,288,4956,265,0.05148373257061137,0.05347054075867635
2021-12-18,1305,99,1191,90,0.07586206896551724,0.07556675062972293
2021-12-19,1201,70,1067,64,0.05828476269775187,0.05998125585754452
2021-12-20,5830,460,5222,421,0.07890222984562607,0.08062045193412486
2021-12-21,6202,585,5503,523,0.0943244114801677,0.09503906959840087
2021-12-22,7055,671,6245,610,0.09510985116938342,0.0976781425140112
2021-12-23,7485,878,6733,825,0.11730126920507682,0.12253081835734442
2021-12-24,5168,632,4655,572,0.12229102167182662,0.12287862513426424
2021-12-25,729,93,622,83,0.12757201646090535,0.13344051446945338
2021-12-26,1704,258,1525,242,0.15140845070422534,0.15868852459016394
2021-12-27,8001,1426,7311,1328,0.17822772153480815,0.18164409793461908
2021-12-28,9277,1837,8418,1713,0.19801660019402825,0.20349251603706345
2021-12-29,11125,2456,10044,2252,0.22076404494382024,0.22421346077260057
2021-12-30,11434,2968,10497,2761,0.25957670106699315,0.26302753167571685
2021-12-31,7995,2440,7261,2239,0.3051907442151345,0.3083597300647294
2022-01-01,1304,386,1195,373,0.2960122699386503,0.31213389121338914
2022-01-02,1959,574,1775,519,0.2930066360387953,0.2923943661971831
2022-01-03,13364,4504,12121,4140,0.33702484286141876,0.3415559772296015
2022-01-04,16294,5713,14739,5239,0.35061986007119184,0.35545152316982154
2022-01-05,18373,6986,16701,6519,0.38023186197137104,0.39033590802945933
2022-01-06,20050,7708,18347,7115,0.3844389027431422,0.3878018204611109
2022-01-07,21474,8270,19532,7655,0.38511688553599704,0.39192095023551093
2022-01-08,6167,2188,5589,1971,0.35479163288470894,0.3526570048309179
2022-01-09,6579,2248,5972,2111,0.3416932664538684,0.3534829202947086
2022-01-10,22574,9042,20158,8208,0.4005493045096129,0.4071832523067765
2022-01-11,24980,10892,22250,9856,0.4360288230584467,0.44296629213483146
2022-01-12,23723,10050,21022,8977,0.4236395059646757,0.4270288269432024
2022-01-13,22646,10653,20187,9569,0.470414201183432,0.47401793233268935
2022-01-14,22202,10219,19649,9148,0.4602738492027746,0.46557076696015065
2022-01-15,8246,3438,7393,3098,0.4169294203250061,0.4190450426078723
2022-01-16,8225,3803,7168,3246,0.462370820668693,0.4528459821428571
2022-01-17,25760,11272,22587,9959,0.4375776397515528,0.4409173418337982
2022-01-18,27690,12078,24427,10643,0.4361863488624052,0.4357063904695624
2022-01-19,26915,12446,23891,11005,0.4624187256176853,0.4606337114394542
2022-01-20,25252,12178,22214,10801,0.4822588309836845,0.48622490321418926
2022-01-21,24385,11417,21591,10019,0.46819766249743694,0.46403594090130146
2022-01-22,9501,4676,8381,4162,0.4921587201347226,0.4965994511394822
2022-01-23,8288,3596,7235,3251,0.4338803088803089,0.44934346924671736
2022-01-24,24224,10809,21155,9538,0.4462103698811096,0.4508626802174427
2022-01-25,25169,11744,21907,10293,0.46660574516270015,0.4698498196923358
2022-01-26,26486,11989,23309,10674,0.4526542324246772,0.4579347033334763
2022-01-27,24425,10859,21447,9626,0.4445854657113613,0.4488273418193687
2022-01-28,22684,9887,20027,8793,0.43585787339093635,0.43905727268187944
2022-01-29,8340,3729,7145,3231,0.44712230215827337,0.4522043386983905
2022-01-30,7660,3253,6591,2842,0.4246736292428198,0.4311940524958277
2022-01-31,19214,8503,17016,7500,0.44254189653377746,0.4407616361071932
2022-02-01,20596,9093,18010,7985,0.4414934938823072,0.443364797334814
2022-02-02,19461,8764,16934,7736,0.4503365705770515,0.4568324081729066
2022-02-03,19520,8136,17138,7235,0.41680327868852457,0.42216127902905826
2022-02-04,18325,7904,16253,7022,0.43132332878581175,0.43204331508029287
2022-02-05,7162,2673,6282,2371,0.3732197710136833,0.377427570837313
2022-02-06,5800,2213,5102,1947,0.38155172413793104,0.38161505292042336
2022-02-07,4454,1656,4022,1502,0.3718006286484059,0.373446046742914
2022-02-08,14871,5678,13006,4961,0.38181695918230113,0.38143933569121946
2022-02-09,17109,7519,15076,6580,0.4394762990239056,0.4364552931812152
2022-02-10,16375,6611,14723,5993,0.40372519083969466,0.4070501935746791
2022-02-11,14808,5731,13241,5131,0.387020529443544,0.38750849633713463
2022-02-12,6149,2807,5432,2499,0.4564969913807123,0.46005154639175255
2022-02-13,5222,2467,4595,2174,0.4724243584833397,0.47312295973884655
2022-02-14,12765,5116,11287,4539,0.4007833920877399,0.402144059537521
2022-02-15,13487,4848,11954,4353,0.35945725513457405,0.36414589258825497
2022-02-16,13302,4633,11667,4130,0.3482934897007969,0.35398988600325704
2022-02-17,12915,3992,11364,3589,0.3090979481223384,0.3158218936994016
2022-02-18,13296,4568,11999,4229,0.3435619735258724,0.35244603716976414
2022-02-19,4626,1414,4031,1207,0.3056636402939905,0.29942942197965766
2022-02-20,4444,1302,4007,1144,0.292979297929793,0.28550037434489645
2022-02-21,12445,3497,11401,3248,0.280996384089996,0.28488729058854484
2022-02-22,14192,4535,12495,3879,0.3195462232243517,0.3104441776710684
2022-02-23,13632,4821,11913,4083,0.3536531690140845,0.34273482749937045
2022-02-24,10852,2780,9683,2528,0.2561739771470697,0.26107611277496645
2022-02-25,11220,3119,9990,2725,0.27798573975044566,0.2727727727727728
2022-02-26,4886,1238,4486,1107,0.25337699549733933,0.24676772180115916
2022-02-27,2110,524,1944,467,0.24834123222748816,0.24022633744855967
2022-02-28,13380,3667,11992,3206,0.2740657698056801,0.2673448965977318
2022-03-01,9668,2747,8582,2429,0.2841332230037236,0.2830342577487765
2022-03-02,8936,2219,7884,1999,0.24832139659803043,0.25355149670218163
2022-03-03,9341,1959,8416,1803,0.20972058666095708,0.2142347908745247
2022-03-04,10584,2059,9460,1881,0.19453892668178385,0.19883720930232557
2022-03-05,4397,657,4123,617,0.14942005913122583,0.14964831433422263
2022-03-06,3095,386,2790,350,0.1247172859450727,0.12544802867383512
2022-03-07,11259,2001,10107,1823,0.17772448707700506,0.1803700405659444
2022-03-08,9021,1579,8188,1498,0.17503602704799912,0.18295065950170983
2022-03-09,8824,1495,7905,1392,0.1694242973708069,0.1760910815939279
2022-03-10,7486,1373,6766,1286,0.1834090301896874,0.1900679869937925
2022-03-11,7082,1098,6372,1044,0.1550409488844959,0.1638418079096045
2022-03-12,2831,263,2594,247,0.09290003532320734,0.09521973785659212
2022-03-13,1864,351,1641,299,0.18830472103004292,0.182205971968312
2022-03-14,9320,1333,8322,1224,0.14302575107296137,0.14708002883922133
2022-03-15,8140,1182,7211,1057,0.14520884520884522,0.14658161142698656
2022-03-16,7119,1110,6250,1024,0.15592077538980195,0.16384
