,cycleId,latitude_decimal,longitude_decimal,CO
361989,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.49
361990,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.62
361991,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,3.97
361992,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.59
361993,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,0.08
361994,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.54
361995,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.64
361997,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.58
361998,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.55
361999,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,0.07
362000,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,3.34
362004,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.53
362005,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.43
362006,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,0.31
362007,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.56
362009,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,4.69
362010,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,3.99
362013,fff4eebcef5e1e0b,19.39888968888889,-99.02464123055556,2.01
362014,fff2064195886622,19.398894772222224,-99.02464292499998,1.08
362015,fff2064195886622,19.398894772222224,-99.02464292499998,4.51
362016,fff2064195886622,19.398894772222224,-99.02464292499998,4.45
362017,fff2064195886622,19.398894772222224,-99.02464292499998,4.39
362022,fff2064195886622,19.39889545,-99.0246425861111,1.08
362023,fff2064195886622,19.39889545,-99.0246425861111,4.51
362024,fff2064195886622,19.39889545,-99.0246425861111,4.45
362025,fff2064195886622,19.39889545,-99.0246425861111,4.39
362026,fff2064195886622,19.39889545,-99.02464275555556,1.08
362027,fff2064195886622,19.39889545,-99.02464275555556,4.51
362028,fff2064195886622,19.39889545,-99.02464275555556,4.45
362029,fff2064195886622,19.39889545,-99.02464275555556,4.39
362034,fff2064195886622,19.39889578888889,-99.0246425861111,1.08
362035,fff2064195886622,19.39889578888889,-99.0246425861111,4.51
362036,fff2064195886622,19.39889578888889,-99.0246425861111,4.45
362037,fff2064195886622,19.39889578888889,-99.0246425861111,4.39
362038,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,-0.03
362039,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.41
362040,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.07
362041,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.7
362042,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.5
362043,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.43
