attribute,average
mnima_de_la_temperatura_de_bulbo_hmedo,9.0
ndice_de_calor,35.333333333333336
mxima_del_indice_de_calor,35.666666666666664
time,
aqi,102.0
aqi_alto,126.5
pm_1,26.0
alto_pm_1,36.5
pm_25,35.833333333333336
alto_pm_25,50.75
pm_10,42.583333333333336
alto_pm_10,60.833333333333336
temp,37.083333333333336
temp_alta,37.333333333333336
temp_baja,36.91666666666666
hum,12.166666666666666
alta_hum,13.583333333333334
hum_baja,11.75
punto_de_roco,3.333333333333333
mxima_del_punto_de_roco,4.833333333333333
mnima_del_punto_de_roco,2.5
bulbo_hmedo,8.583333333333334
mxima_temperatura_de_bulbo_hmedo,10.0
mnima_de_la_temperatura_de_bulbo_hmedo,8.166666666666666
ndice_de_calor,34.666666666666664
mxima_del_indice_de_calor,34.916666666666664
time,
aqi,81.75
aqi_alto,95.0
pm_1,20.25
alto_pm_1,23.5
pm_25,26.58333333333333
alto_pm_25,32.75
pm_10,29.33333333333333
alto_pm_10,40.833333333333336
temp,37.91666666666666
temp_alta,38.16666666666666
temp_baja,37.75
hum,10.25
alta_hum,11.916666666666666
hum_baja,9.833333333333334
punto_de_roco,1.4166666666666667
mxima_del_punto_de_roco,3.5
mnima_del_punto_de_roco,0.6666666666666666
bulbo_hmedo,7.166666666666667
mxima_temperatura_de_bulbo_hmedo,8.583333333333334
mnima_de_la_temperatura_de_bulbo_hmedo,6.5
ndice_de_calor,35.083333333333336
mxima_del_indice_de_calor,35.333333333333336
time,
aqi,75.75
aqi_alto,93.08333333333331
pm_1,18.666666666666668
alto_pm_1,23.58333333333333
pm_25,23.916666666666668
alto_pm_25,32.166666666666664
pm_10,25.916666666666668
alto_pm_10,38.0
temp,35.166666666666664
temp_alta,35.416666666666664
temp_baja,35.0
hum,10.833333333333334
alta_hum,11.25
hum_baja,9.916666666666666
punto_de_roco,-0.4166666666666667
mxima_del_punto_de_roco,0.5833333333333334
mnima_del_punto_de_roco,-1.1666666666666667
bulbo_hmedo,5.666666666666667
mxima_temperatura_de_bulbo_hmedo,6.416666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,5.0
ndice_de_calor,32.416666666666664
mxima_del_indice_de_calor,32.916666666666664
time,
aqi,84.16666666666667
aqi_alto,126.25
pm_1,21.0
alto_pm_1,40.833333333333336
pm_25,27.916666666666668
alto_pm_25,58.41666666666666
pm_10,30.666666666666668
alto_pm_10,65.66666666666667
temp,31.33333333333333
temp_alta,31.416666666666668
temp_baja,31.08333333333333
hum,12.333333333333334
alta_hum,12.916666666666666
hum_baja,11.666666666666666
punto_de_roco,-1.4166666666666667
mxima_del_punto_de_roco,-0.4166666666666667
mnima_del_punto_de_roco,-1.9166666666666667
bulbo_hmedo,5.166666666666667
mxima_temperatura_de_bulbo_hmedo,5.916666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,4.75
ndice_de_calor,29.0
mxima_del_indice_de_calor,29.166666666666668
time,
aqi,89.66666666666667
aqi_alto,123.5
pm_1,22.33333333333333
alto_pm_1,40.91666666666666
pm_25,30.416666666666668
alto_pm_25,55.66666666666666
pm_10,33.75
alto_pm_10,64.16666666666667
temp,28.75
temp_alta,28.916666666666668
temp_baja,28.75
hum,14.416666666666666
alta_hum,14.833333333333334
hum_baja,13.583333333333334
punto_de_roco,-1.0
mxima_del_punto_de_roco,-0.75
mnima_del_punto_de_roco,-1.9166666666666667
bulbo_hmedo,5.25
mxima_temperatura_de_bulbo_hmedo,5.75
mnima_de_la_temperatura_de_bulbo_hmedo,4.666666666666667
ndice_de_calor,26.916666666666668
mxima_del_indice_de_calor,27.08333333333333
time,
aqi,112.58333333333331
aqi_alto,226.66666666666663
pm_1,36.91666666666666
alto_pm_1,111.25
pm_25,51.583333333333336
alto_pm_25,179.91666666666666
pm_10,57.333333333333336
alto_pm_10,197.75
temp,26.416666666666668
temp_alta,26.5
temp_baja,26.166666666666668
hum,18.916666666666668
alta_hum,19.5
hum_baja,17.833333333333332
punto_de_roco,0.75
mxima_del_punto_de_roco,1.3333333333333333
mnima_del_punto_de_roco,0.0
bulbo_hmedo,6.833333333333333
mxima_temperatura_de_bulbo_hmedo,7.166666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,6.25
ndice_de_calor,25.0
mxima_del_indice_de_calor,25.166666666666668
time,
aqi,48.5
aqi_alto,78.25
pm_1,9.5
alto_pm_1,20.666666666666668
pm_25,12.083333333333334
alto_pm_25,30.08333333333333
pm_10,13.583333333333334
alto_pm_10,36.333333333333336
temp,23.83333333333333
temp_alta,24.0
temp_baja,23.666666666666668
hum,20.33333333333333
alta_hum,20.916666666666668
hum_baja,20.25
punto_de_roco,-0.3333333333333333
mxima_del_punto_de_roco,0.0833333333333333
mnima_del_punto_de_roco,-0.5
bulbo_hmedo,6.083333333333333
mxima_temperatura_de_bulbo_hmedo,6.25
mnima_de_la_temperatura_de_bulbo_hmedo,6.0
ndice_de_calor,22.166666666666668
mxima_del_indice_de_calor,22.58333333333333
time,
aqi,40.583333333333336
aqi_alto,68.16666666666667
pm_1,8.083333333333334
alto_pm_1,14.916666666666666
pm_25,9.916666666666666
alto_pm_25,20.25
pm_10,11.166666666666666
alto_pm_10,24.0
temp,22.0
temp_alta,22.0
temp_baja,21.75
hum,18.33333333333333
alta_hum,18.58333333333333
hum_baja,18.08333333333333
punto_de_roco,-3.4166666666666665
mxima_del_punto_de_roco,-3.0
mnima_del_punto_de_roco,-3.4166666666666665
bulbo_hmedo,3.6666666666666665
mxima_temperatura_de_bulbo_hmedo,3.9166666666666665
mnima_de_la_temperatura_de_bulbo_hmedo,3.583333333333333
ndice_de_calor,19.75
mxima_del_indice_de_calor,19.916666666666668
time,
aqi,33.833333333333336
aqi_alto,59.5
pm_1,6.666666666666667
alto_pm_1,12.666666666666666
pm_25,8.416666666666666
alto_pm_25,17.166666666666668
pm_10,9.0
alto_pm_10,20.166666666666668
temp,21.0
temp_alta,21.0
temp_baja,20.916666666666668
hum,17.166666666666668
alta_hum,17.333333333333332
hum_baja,16.583333333333332
punto_de_roco,-5.0
mxima_del_punto_de_roco,-4.75
mnima_del_punto_de_roco,-5.25
bulbo_hmedo,2.4166666666666665
mxima_temperatura_de_bulbo_hmedo,2.583333333333333
mnima_de_la_temperatura_de_bulbo_hmedo,2.333333333333333
ndice_de_calor,18.25
mxima_del_indice_de_calor,18.416666666666668
time,
aqi,49.083333333333336
aqi_alto,62.5
pm_1,9.333333333333334
alto_pm_1,12.916666666666666
pm_25,11.916666666666666
alto_pm_25,17.666666666666668
pm_10,13.416666666666666
alto_pm_10,21.83333333333333
temp,19.416666666666668
temp_alta,19.5
temp_baja,19.33333333333333
hum,21.33333333333333
alta_hum,21.58333333333333
hum_baja,20.916666666666668
punto_de_roco,-3.333333333333333
mxima_del_punto_de_roco,-3.1666666666666665
mnima_del_punto_de_roco,-3.6666666666666665
bulbo_hmedo,3.5
mxima_temperatura_de_bulbo_hmedo,3.5
mnima_de_la_temperatura_de_bulbo_hmedo,3.25
ndice_de_calor,16.583333333333332
mxima_del_indice_de_calor,16.833333333333332
time,
aqi,48.75
aqi_alto,61.333333333333336
pm_1,8.833333333333334
alto_pm_1,12.333333333333334
pm_25,11.75
alto_pm_25,17.083333333333332
pm_10,13.5
alto_pm_10,21.916666666666668
temp,18.0
temp_alta,18.08333333333333
temp_baja,18.0
hum,25.25
alta_hum,25.5
hum_baja,24.75
punto_de_roco,-2.1666666666666665
mxima_del_punto_de_roco,-2.083333333333333
