aqi,aqi_alto,pm_1,alto_pm_1,pm_2.5,alto_pm_2.5,pm_10,alto_pm_10,temp,temp. alta,temp._baja,hum,alta_hum,hum_baja,punto_de_rocío,máxima_del_punto_de_rocío,mínima_del_punto_de_rocío,bulbo_húmedo,máxima_temperatura_de_bulbo_húmedo,mínima_de_la_temperatura_de_bulbo_húmedo,índice_de_calor,máxima_del_indice_de_calor,date,time
95.16666666666669,110.08333333333331,22.916666666666668,26.5,32.833333333333336,39.083333333333336,38.583333333333336,48.16666666666666,35.0,35.166666666666664,34.833333333333336,13.416666666666666,14.666666666666666,12.5,2.9166666666666665,4.333333333333333,2.1666666666666665,8.416666666666666,9.416666666666666,7.75,32.833333333333336,33.0,2024-02-29,13:00
52.083333333333336,65.75,11.166666666666666,14.333333333333334,13.583333333333334,19.166666666666668,14.5,21.83333333333333,34.833333333333336,35.25,34.75,10.166666666666666,11.25,9.666666666666666,-0.9166666666666666,0.5,-1.6666666666666667,5.333333333333333,6.5,4.833333333333333,32.333333333333336,32.75,2024-02-29,14:00
55.083333333333336,76.0,11.833333333333334,18.25,14.25,23.83333333333333,14.833333333333334,26.83333333333333,33.083333333333336,33.5,32.916666666666664,10.5,11.416666666666666,10.0,-1.75,-0.6666666666666666,-2.5,4.5,5.583333333333333,4.083333333333333,30.83333333333333,31.08333333333333,2024-02-29,15:00
57.083333333333336,77.66666666666667,12.25,18.25,15.083333333333334,24.58333333333333,16.0,27.08333333333333,28.75,29.0,28.58333333333333,13.0,13.25,12.416666666666666,-2.6666666666666665,-2.0,-3.0,4.0,4.416666666666667,4.0,26.75,27.0,2024-02-29,16:00
56.833333333333336,88.66666666666667,12.0,23.08333333333333,14.75,31.5,16.0,35.083333333333336,26.166666666666668,26.416666666666668,26.08333333333333,15.25,15.333333333333334,15.0,-2.25,-2.1666666666666665,-2.583333333333333,4.416666666666667,4.666666666666667,4.25,24.5,24.666666666666668,2024-02-29,17:00
72.25,121.25,16.666666666666668,37.833333333333336,22.166666666666668,54.833333333333336,24.166666666666668,60.583333333333336,24.666666666666668,24.666666666666668,24.58333333333333,21.666666666666668,21.916666666666668,20.58333333333333,1.0,1.0833333333333333,0.5,7.083333333333333,7.083333333333333,6.666666666666667,23.58333333333333,23.666666666666668,2024-02-29,18:00
111.66666666666669,227.16666666666663,32.916666666666664,105.58333333333331,47.16666666666666,173.0,51.333333333333336,189.0,22.916666666666668,22.916666666666668,22.75,29.33333333333333,29.75,28.83333333333333,4.0,4.083333333333333,3.9166666666666665,9.0,9.0,9.0,21.5,21.666666666666668,2024-02-29,19:00
138.08333333333334,279.75,49.16666666666666,147.91666666666666,71.58333333333333,236.58333333333331,78.0,255.08333333333331,21.25,21.25,21.166666666666668,33.416666666666664,33.833333333333336,32.833333333333336,4.333333333333333,4.583333333333333,4.0,9.083333333333334,9.25,9.0,19.25,19.416666666666668,2024-02-29,20:00
96.41666666666669,159.58333333333334,28.58333333333333,69.25,39.91666666666666,106.25,43.0,116.75,19.58333333333333,19.666666666666668,19.5,37.5,38.083333333333336,36.91666666666666,4.75,5.0,4.583333333333333,9.0,9.083333333333334,9.0,18.08333333333333,18.33333333333333,2024-02-29,21:00
93.75,106.83333333333331,22.416666666666668,25.83333333333333,32.0,37.66666666666666,37.25,46.25,18.08333333333333,18.166666666666668,18.08333333333333,37.16666666666666,37.75,36.41666666666666,3.333333333333333,3.583333333333333,2.833333333333333,8.25,8.333333333333334,8.0,16.666666666666668,16.916666666666668,2024-02-29,22:00
94.5,107.0,22.58333333333333,25.416666666666668,32.833333333333336,37.91666666666666,38.5,47.66666666666666,17.166666666666668,17.25,17.083333333333332,37.75,38.083333333333336,37.25,2.583333333333333,2.9166666666666665,2.083333333333333,7.083333333333333,7.333333333333333,7.0,15.5,15.583333333333334,2024-02-29,23:00
87.75,98.91666666666669,20.916666666666668,23.666666666666668,29.58333333333333,34.5,33.583333333333336,44.25,15.916666666666666,16.0,15.916666666666666,42.25,42.66666666666666,41.75,3.0,3.083333333333333,3.0,7.583333333333333,8.0,7.166666666666667,14.25,14.416666666666666,2024-03-01,00:00
86.58333333333333,97.0,20.5,23.0,29.08333333333333,33.916666666666664,32.5,42.91666666666666,14.5,14.583333333333334,14.5,46.583333333333336,46.75,46.083333333333336,3.0,3.0,3.0,7.083333333333333,7.333333333333333,7.0,13.25,13.333333333333334,2024-03-01,01:00
86.41666666666667,96.33333333333331,20.33333333333333,22.666666666666668,28.916666666666668,33.583333333333336,32.333333333333336,43.16666666666666,13.5,13.583333333333334,13.5,50.41666666666666,50.833333333333336,49.91666666666666,3.25,3.5,3.0,7.0,7.0,7.0,12.416666666666666,12.5,2024-03-01,02:00
88.91666666666667,100.66666666666669,21.08333333333333,24.0,30.0,35.5,34.416666666666664,46.25,13.0,13.0,13.0,51.16666666666666,51.41666666666666,50.91666666666666,3.0,3.083333333333333,3.0,7.0,7.0,7.0,12.0,12.0,2024-03-01,03:00
83.0,93.83333333333331,19.33333333333333,22.08333333333333,27.5,32.416666666666664,30.166666666666668,40.833333333333336,12.333333333333334,12.416666666666666,12.333333333333334,54.16666666666666,54.25,53.833333333333336,3.0,3.0,3.0,7.0,7.0,7.0,11.416666666666666,11.5,2024-03-01,04:00
88.0,98.0,20.666666666666668,22.75,29.666666666666668,34.416666666666664,33.5,45.083333333333336,11.25,11.333333333333334,11.166666666666666,57.333333333333336,57.583333333333336,57.16666666666666,3.0,3.1666666666666665,3.0,6.583333333333333,7.0,6.5,10.833333333333334,10.916666666666666,2024-03-01,05:00
101.91666666666669,113.75,24.416666666666668,27.33333333333333,35.75,40.66666666666666,43.833333333333336,53.25,11.0,11.0,11.0,60.66666666666666,60.91666666666666,60.083333333333336,3.333333333333333,3.4166666666666665,3.083333333333333,6.5,6.666666666666667,6.25,10.0,10.0,2024-03-01,06:00
115.58333333333331,125.83333333333331,27.75,30.416666666666668,41.5,45.583333333333336,52.41666666666666,61.083333333333336,11.166666666666666,11.166666666666666,11.083333333333334,62.91666666666666,63.25,62.5,4.166666666666667,4.333333333333333,4.083333333333333,7.166666666666667,7.166666666666667,7.083333333333333,10.416666666666666,10.416666666666666,2024-03-01,07:00
113.83333333333331,124.66666666666669,27.416666666666668,30.33333333333333,40.75,45.083333333333336,51.083333333333336,59.41666666666666,15.583333333333334,15.916666666666666,15.166666666666666,49.5,52.0,49.0,5.083333333333333,5.333333333333333,4.75,8.75,8.916666666666666,8.333333333333334,15.0,15.0,2024-03-01,08:00
120.75,132.16666666666666,29.58333333333333,32.333333333333336,43.5,48.16666666666666,54.583333333333336,62.41666666666666,25.08333333333333,25.33333333333333,24.666666666666668,28.08333333333333,30.08333333333333,27.75,5.333333333333333,6.083333333333333,5.083333333333333,10.25,10.833333333333334,9.916666666666666,24.166666666666668,24.166666666666668,2024-03-01,09:00
109.08333333333331,124.25,27.666666666666668,31.83333333333333,38.66666666666666,45.16666666666666,46.833333333333336,57.25,30.25,30.416666666666668,29.916666666666668,21.75,22.75,21.5,6.083333333333333,6.833333333333333,5.666666666666667,11.0,11.5,10.833333333333334,28.75,28.83333333333333,2024-03-01,10:00
98.66666666666669,116.0,25.08333333333333,29.83333333333333,34.5,42.583333333333336,40.16666666666666,52.0,33.166666666666664,33.416666666666664,32.833333333333336,17.166666666666668,18.25,16.666666666666668,5.0,5.916666666666667,4.333333333333333,10.333333333333334,11.0,9.583333333333334,31.166666666666668,31.33333333333333,2024-03-01,11:00
98.0,118.16666666666669,24.58333333333333,32.333333333333336,34.25,44.833333333333336,39.5,54.66666666666666,33.833333333333336,34.083333333333336,33.583333333333336,15.916666666666666,17.416666666666668,15.416666666666666,4.5,5.75,4.0,9.833333333333334,10.75,9.166666666666666,31.75,31.916666666666668,2024-03-01,12:00
97.0,109.5,24.25,26.916666666666668,33.833333333333336,38.91666666666666,39.41666666666666,48.083333333333336,35.25,35.5,34.916666666666664,14.5,15.583333333333334,14.0,4.25,5.0,3.5,9.5,10.166666666666666,9.0,32.833333333333336,33.25,2024-03-01,13:00
81.66666666666667,96.83333333333331,20.166666666666668,24.166666666666668,26.83333333333333,33.583333333333336,29.0,40.91666666666666,34.666666666666664,34.75,34.583333333333336,14.083333333333334,14.916666666666666,13.75,3.4166666666666665,4.333333333333333,3.083333333333333,8.916666666666666,9.5,8.416666666666666,32.416666666666664,32.666666666666664,2024-03-01,14:00
70.71428571428571,85.71428571428571,17.142857142857142,21.142857142857142,21.571428571428573,28.571428571428573,22.857142857142858,32.42857142857143,32.714285714285715,33.0,32.57142857142857,15.428571428571429,15.714285714285714,14.857142857142858,3.0,3.2857142857142856,2.4285714285714284,8.285714285714286,9.0,8.0,30.428571428571427,30.857142857142858,2024-03-01,15:00
45.888888888888886,89.77777777777777,9.22222222222222,22.55555555555556,11.555555555555555,31.88888888888889,12.333333333333334,36.11111111111112,25.11111111111111,25.33333333333333,24.88888888888889,17.444444444444443,17.77777777777778,17.11111111111111,-1.6666666666666667,-1.1111111111111112,-1.6666666666666667,5.222222222222222,5.555555555555555,5.111111111111111,23.444444444444443,23.88888888888889,2024-03-04,18:00
39.41666666666666,67.25,7.666666666666667,14.833333333333334,9.75,20.33333333333333,10.666666666666666,24.33333333333333,22.416666666666668,22.416666666666668,22.33333333333333,19.25,19.416666666666668,18.58333333333333,-2.333333333333333,-2.1666666666666665,-2.6666666666666665,4.333333333333333,4.5,4.0,20.33333333333333,20.58333333333333,2024-03-04,19:00
56.5,126.33333333333331,12.25,45.583333333333336,16.333333333333332,66.83333333333333,18.33333333333333,74.75,21.08333333333333,21.08333333333333,21.0,20.916666666666668,21.33333333333333,20.416666666666668,-2.083333333333333,-1.9166666666666667,-2.583333333333333,4.583333333333333,4.75,4.25,18.58333333333333,18.666666666666668,2024-03-04,20:00
40.833333333333336,67.16666666666667,7.666666666666667,17.666666666666668,10.0,24.08333333333333,10.833333333333334,26.83333333333333,19.83333333333333,19.916666666666668,19.75,24.666666666666668,25.166666666666668,24.166666666666668,-0.8333333333333334,-0.5833333333333334,-1.0,5.25,5.416666666666667,5.083333333333333,17.416666666666668,17.5,2024-03-04,21:00
